Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1504.406968
FDW14,OUT017,1510.39015
NCN55,OUT010,695.5057509
FDQ58,OUT017,2150.090133
FDY38,OUT027,789.2781188
FDH56,OUT046,1849.005878
FDL48,OUT018,422.4044861
FDC48,OUT027,1873.29488
FDN33,OUT045,1508.037
FDA36,OUT017,2692.414563
FDT44,OUT017,942.7728
FDQ56,OUT045,2004.783505
NCC54,OUT019,887.5477316
FDU11,OUT049,1738.511845
DRL59,OUT013,671.3195825
FDM24,OUT049,2481.36117
FDI57,OUT045,4532.7664
DRC12,OUT018,2046.849712
NCM42,OUT027,2874.39176
FDA46,OUT010,405.3819548
FDA31,OUT013,2554.0088
NCJ31,OUT035,3840.057039
FDG52,OUT046,611.6653836
NCL19,OUT019,143.147
FDS10,OUT035,2322.321982
FDX22,OUT010,643.7220991
NCF19,OUT035,781.1024509
NCE06,OUT046,1798.9916
DRC27,OUT046,2052.442413
FDE21,OUT035,1424.807439
NCR42,OUT019,107.3596185
FDX51,OUT018,984.8998615
NCR06,OUT018,594.4726437
FDU31,OUT027,4805.4115
FDU59,OUT017,2588.186113
FDR03,OUT027,6152.6578
FDS49,OUT027,2975.1273
FDD48,OUT010,297.4849606
NCF18,OUT017,3087.9804
NCD43,OUT027,2115.341714
NCD54,OUT018,1787.986112
FDY19,OUT010,369.519
NCY54,OUT017,2880.5837
NCL19,OUT018,1964.317906
FDP23,OUT010,567.339659
FDC26,OUT013,1431.123697
FDR14,OUT010,121.0656065
NCS41,OUT035,2484.480056
FDF41,OUT035,5834.4054
FDU34,OUT046,1688.4688
DRH11,OUT046,432.806708
FDM03,OUT013,1638.183518
FDS31,OUT017,3067.3406
FDJ20,OUT017,1939.253467
FDV44,OUT027,5084.429257
FDG02,OUT049,1845.027414
FDA09,OUT013,3183.03724
FDT04,OUT013,1006.6896
FDL58,OUT019,781.9821
FDE52,OUT045,1474.314283
FDW12,OUT035,2271.950002
FDL51,OUT017,2955.810463
NCY42,OUT027,2959.1481
FDR07,OUT017,296.7743699
FDN40,OUT045,3691.1952
FDB35,OUT027,311.2010868
FDA22,OUT017,3820.018812
NCL06,OUT046,2805.0154
FDI35,OUT013,4278.434315
NCW42,OUT045,2883.5798
NCX06,OUT049,2412.441439
FDC37,OUT027,2470.118
FDZ14,OUT018,1662.817948
DRG49,OUT049,6708.115406
NCG06,OUT045,2498.715673
DRC36,OUT045,4377.635
FDV21,OUT019,280.5237333
FDB53,OUT046,3611.2992
DRP47,OUT019,671.0625405
FDA14,OUT013,1775.3713
DRC24,OUT035,3525.170129
FDW21,OUT018,1326.904359
NCH29,OUT046,1879.509349
FDU58,OUT013,2881.11886
FDY27,OUT017,976.0628
FDV56,OUT035,1073.444267
FDT59,OUT046,4137.701655
FDB23,OUT046,3928.285783
FDR49,OUT045,644.7163333
FDB03,OUT010,568.3702911
FDN39,OUT045,1510.0344
FDX02,OUT027,5695.2532
FDQ16,OUT027,3113.2808
FDU35,OUT018,1624.851287
NCT29,OUT013,1969.4364
FDZ27,OUT046,655.3632175
FDN57,OUT017,1270.3464
FDA03,OUT018,1962.287603
FDZ36,OUT045,3389.730565
NCU05,OUT013,1256.65412
FDT39,OUT018,3412.8908
FDK60,OUT017,1970.768
FDZ25,OUT017,3735.138
FDG12,OUT046,2265.19559
DRB01,OUT019,439.428
NCC43,OUT027,5977.5524
FDX13,OUT019,510.0028
FDM22,OUT049,563.9326
FDJ03,OUT027,1348.245
FDU14,OUT018,2341.192853
FDB33,OUT010,473.6764363
FDP27,OUT046,2972.287031
FDO38,OUT010,157.546875
FDE28,OUT027,6687.2952
FDO27,OUT035,2171.751945
DRL23,OUT027,2303.668
FDS28,OUT046,478.3470122
FDX24,OUT013,1003.6935
FDZ02,OUT035,1342.2528
FDL46,OUT045,1437.4622
FDS60,OUT027,4362.3216
NCO06,OUT017,1061.951
FDO16,OUT035,1861.03375
FDC60,OUT049,1915.870541
FDA48,OUT018,3955.131262
FDZ36,OUT027,3728.48
FDK27,OUT045,1938.8096
FDW23,OUT018,579.3671913
FDM14,OUT018,1687.790672
FDM14,OUT013,1944.487697
FDW60,OUT018,3584.499496
FDE21,OUT013,1343.106983
NCM42,OUT035,1598.404667
FDY59,OUT010,232.1326761
DRI49,OUT049,1369.076286
FDT28,OUT019,295.6152
FDQ22,OUT018,488.896901
FDR60,OUT049,1211.756
FDC50,OUT019,321.9143
FDV24,OUT013,1578.88752
DRF48,OUT010,379.506
FDQ47,OUT046,405.3434711
DRN36,OUT049,1032.183169
NCY06,OUT035,2448.562104
FDE52,OUT035,1586.482238
NCB54,OUT045,1406.1696
NCF31,OUT035,1934.879569
FDJ08,OUT027,5746.5198
NCC07,OUT017,1748.824259
NCD19,OUT027,1359.06425
FDL46,OUT049,1470.0864
FDM20,OUT045,6615.3888
NCI06,OUT010,578.8112674
DRM11,OUT035,4171.941391
NCH07,OUT018,2258.3936
FDS23,OUT013,2302.368868
FDO49,OUT018,728.2695946
FDS35,OUT049,1042.935077
DRK39,OUT045,1414.825
DRI39,OUT049,934.2213402
FDV04,OUT017,1349.5766
NCN14,OUT035,3698.246267
FDH08,OUT013,4527.44
FDS20,OUT046,3048.071659
FDV40,OUT049,1310.601383
FDZ48,OUT010,247.1031066
FDS24,OUT027,2292.0165
FDK44,OUT049,2863.6058
FDS48,OUT045,1837.026432
FDK26,OUT010,504.6471895
FDD23,OUT045,3434.235191
NCH54,OUT017,2237.088
NCP14,OUT010,289.6749446
FDM60,OUT010,86.78025766
FDV24,OUT017,1797.66
FDH08,OUT018,3848.324
FDS12,OUT027,3415.554
FDR39,OUT027,588.5759686
FDP12,OUT027,63.1422495
DRF60,OUT027,3420.8804
FDC09,OUT035,1879.2205
FDF50,OUT018,2704.363256
FDG28,OUT035,3287.330015
